"id","operador_id","data_abertura","valor_inicial","data_fechamento","valor_fechamento"
"369","121","14","0","KG","0.00"
"370","121","93","1","UN","0.00"
"371","121","106","0","KG","0.00"
"372","122","65","0","KG","0.00"
"373","122","108","1","KG","0.00"
"374","123","17","1","DZ","0.00"
"375","123","184","3","KG","0.00"
"376","123","29","1","KG","0.00"
"377","123","54","0","KG","0.00"
"378","123","108","1","KG","0.00"
"379","123","191","0","KG","0.00"
"380","123","192","1","PCT","0.00"
"381","124","11","1","KG","0.00"
"382","124","17","1","DZ","0.00"
"383","125","64","0","KG","0.00"
"384","125","54","0","KG","0.00"
"385","125","170","1","KG","0.00"
"386","125","97","1","PCT","0.00"
"387","125","101","1","PCT","0.00"
"388","125","66","0","KG","0.00"
"389","125","145","1","CTL","0.00"
"390","125","150","15","UN","0.00"
"391","126","4","1","PCT","0.00"
"392","126","7","1","PCT","0.00"
"393","126","166","0","KG","0.00"
"394","127","31","1","KG","0.00"
"395","127","44","0","KG","0.00"
"396","128","7","1","PCT","0.00"
"397","128","106","1","KG","0.00"
"398","128","13","1","DZ","0.00"
"399","129","44","0","KG","0.00"
"400","129","57","0","KG","0.00"
"401","129","39","0","KG","0.00"
"402","129","40","0","KG","0.00"
"403","129","16","1","DZ","0.00"
"404","129","3","1","UN","0.00"
"405","130","66","0","KG","0.00"
"406","130","64","0","KG","0.00"
"407","130","61","0","KG","0.00"
"408","130","14","0","KG","0.00"
"409","130","212","5","UN","0.00"
"410","130","165","1","UN","0.00"
"411","130","184","2","KG","0.00"
"412","131","93","1","UN","0.00"
"413","131","7","1","PCT","0.00"
"414","132","66","0","KG","0.00"
"415","132","106","0","KG","0.00"
"416","132","5","2","PCT","0.00"
"417","132","179","1","PCT","0.00"
"418","132","108","1","KG","0.00"
"419","132","49","1","PCT","0.00"
"420","132","162","12","UN","0.00"
"421","132","53","0","KG","0.00"
"422","132","129","1","UN","0.00"
"423","132","16","1","DZ","0.00"
"424","133","60","1","KG","0.00"
"425","134","66","0","KG","0.00"
"426","134","106","0","KG","0.00"
"427","135","108","2","KG","0.00"
"428","136","16","1","DZ","0.00"
"429","136","153","1","UN","0.00"
"430","136","110","1","KG","0.00"
"431","137","165","1","UN","0.00"
"432","137","108","0","KG","0.00"
"433","138","106","0","KG","0.00"
"434","138","66","1","KG","0.00"
"435","139","191","0","KG","0.00"
"436","139","30","1","KG","0.00"
"437","140","13","1","DZ","0.00"
"438","140","151","2","UN","0.00"
"439","140","184","2","KG","0.00"
"440","141","109","0","KG","0.00"
"441","141","46","0","KG","0.00"
"442","141","191","0","KG","0.00"
"443","141","170","0","KG","0.00"
"444","142","161","0","KG","0.00"
"445","142","40","0","KG","0.00"
"446","142","45","0","KG","0.00"
"447","142","55","0","KG","0.00"
"448","142","42","0","KG","0.00"
"449","142","39","0","KG","0.00"
"450","142","46","0","KG","0.00"
"451","143","106","0","KG","0.00"
"452","143","66","0","KG","0.00"
"453","144","4","1","PCT","0.00"
"454","144","7","1","PCT","0.00"
"455","145","108","0","KG","0.00"
"456","145","54","0","KG","0.00"
"457","146","102","0","PCT","0.00"
"458","146","93","1","UN","0.00"
"459","147","13","1","DZ","0.00"
"460","147","151","1","UN","0.00"
"461","148","65","1","KG","0.00"
"462","148","84","1","1KG","0.00"
"463","148","14","0","KG","0.00"
"464","148","93","1","UN","0.00"
"465","149","5","1","PCT","0.00"
"466","150","191","0","KG","0.00"
"467","150","64","0","KG","0.00"
"468","150","108","1","KG","0.00"
"469","150","43","0","KG","0.00"
"470","150","166","0","KG","0.00"
"471","150","29","1","KG","0.00"
"472","150","5","1","PCT","0.00"
"473","151","58","0","KG","0.00"
"474","152","7","2","PCT","0.00"
"475","152","4","2","PCT","0.00"
"476","153","66","1","KG","0.00"
"477","153","106","1","KG","0.00"
"478","153","166","0","KG","0.00"
"479","153","187","22","UN","0.00"
"480","154","13","1","DZ","0.00"
"481","155","66","1","KG","0.00"
"482","156","13","1","DZ","0.00"
"483","156","151","2","UN","0.00"
"484","156","161","0","KG","0.00"
"485","156","30","0","KG","0.00"
"486","156","186","1","PCT","0.00"
"487","156","123","1","UN","0.00"
"488","157","13","1","DZ","0.00"
"489","157","151","1","UN","0.00"
"490","158","63","1","KG","0.00"
"491","159","13","2","DZ","0.00"
"492","159","55","0","KG","0.00"
"493","160","13","1","DZ","0.00"
"494","160","7","2","PCT","0.00"
"495","160","187","5","UN","0.00"
"496","161","66","4","KG","0.00"
"497","162","166","0","KG","0.00"
"498","162","66","1","KG","0.00"
"499","162","107","0","KG","0.00"
"500","163","53","0","KG","0.00"
"501","163","30","0","KG","0.00"
"502","163","106","0","KG","0.00"
"503","163","166","0","KG","0.00"
"504","163","66","1","KG","0.00"
"505","163","60","1","KG","0.00"
"506","163","165","2","UN","0.00"
"507","164","1","0","KG","0.00"
"508","164","106","1","KG","0.00"
"509","164","212","6","UN","0.00"
"510","164","162","6","UN","0.00"
"511","164","66","1","KG","0.00"
"512","164","30","0","KG","0.00"
"513","165","13","1","DZ","0.00"
"514","165","151","2","UN","0.00"
"515","165","67","0","KG","0.00"
"516","165","7","1","PCT","0.00"
"517","165","106","1","KG","0.00"
"518","165","30","0","KG","0.00"
"519","166","30","0","KG","0.00"
"520","166","44","0","KG","0.00"
"521","166","14","0","KG","0.00"
"522","166","59","0","KG","0.00"
"523","166","31","1","KG","0.00"
"524","166","108","0","KG","0.00"
"525","166","5","2","PCT","0.00"
"526","166","67","0","KG","0.00"
"527","166","94","1","UN","0.00"
"528","167","1","0","KG","0.00"
"529","167","63","0","KG","0.00"
"530","167","64","0","KG","0.00"
"531","168","184","2","KG","0.00"
"532","168","12","1","CTL30","0.00"
"533","169","7","2","PCT","0.00"
"534","169","108","1","KG","0.00"
"535","170","63","1","KG","0.00"
"536","171","63","1","KG","0.00"
"537","171","66","1","KG","0.00"
"538","171","4","1","PCT","0.00"
"539","171","38","0","KG","0.00"
"540","172","106","0","KG","0.00"
"541","172","7","1","PCT","0.00"
"542","173","151","7","UN","0.00"
